,[2. 2. 2. 1. 1. 1.],[2. 2. 2. 2. 1. 0.],[3. 2. 1. 1. 1. 1.],[3. 2. 2. 1. 1. 0.],[3. 2. 2. 2. 0. 0.],[3. 3. 1. 1. 1. 0.],[3. 3. 2. 1. 0. 0.],[3. 3. 3. 0. 0. 0.],[4. 1. 1. 1. 1. 1.],[4. 2. 1. 1. 1. 0.],[4. 2. 2. 1. 0. 0.],[4. 3. 1. 1. 0. 0.],[4. 3. 2. 0. 0. 0.],[4. 4. 1. 0. 0. 0.],[5. 1. 1. 1. 1. 0.],[5. 2. 1. 1. 0. 0.],[5. 2. 2. 0. 0. 0.],[5. 3. 1. 0. 0. 0.],[5. 4. 0. 0. 0. 0.],[6. 1. 1. 1. 0. 0.],[6. 2. 1. 0. 0. 0.],[6. 3. 0. 0. 0. 0.],[7. 1. 1. 0. 0. 0.],[7. 2. 0. 0. 0. 0.],[8. 1. 0. 0. 0. 0.],[9. 0. 0. 0. 0. 0.]
[1. 1. 1. 1. 1. 1.],-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
[2. 1. 1. 1. 1. 0.],-1.0,-1.0,-1.0,-1.0,-1.0,-0.8,-0.8333333333333334,-0.5,-0.8333333333333334,-0.7666666666666667,-0.7666666666666667,-0.3333333333333333,-0.3333333333333333,0.43333333333333335,-0.16666666666666666,-0.16666666666666666,-0.16666666666666666,0.43333333333333335,1.0,0.5666666666666667,0.5666666666666667,1.0,1.0,1.0,1.0,1.0
[2. 2. 1. 1. 0. 0.],-1.0,-1.0,-0.9333333333333333,-0.9222222222222223,-0.9666666666666667,-0.7666666666666667,-0.8222222222222222,-0.8,-0.6666666666666666,-0.6666666666666666,-0.7111111111111111,-0.4666666666666667,-0.5666666666666667,-0.03333333333333333,-0.26666666666666666,-0.26666666666666666,-0.3,-0.03333333333333333,0.6,0.23333333333333334,0.26666666666666666,0.6,0.7,0.8,1.0,1.0
[2. 2. 2. 0. 0. 0.],-0.95,-1.0,-0.8,-0.85,-1.0,-0.75,-0.85,-0.95,-0.5,-0.6,-0.7,-0.6,-0.8,-0.35,-0.3,-0.35,-0.5,-0.35,0.0,0.0,0.0,0.0,0.35,0.5,0.7,1.0
[3. 1. 1. 1. 0. 0.],-1.0,-1.0,-1.0,-0.9666666666666667,-0.85,-0.95,-0.7833333333333333,-0.45,-1.0,-0.8833333333333333,-0.6833333333333333,-0.6333333333333333,-0.4166666666666667,-0.18333333333333332,-0.7333333333333333,-0.4666666666666667,-0.26666666666666666,-0.016666666666666666,0.6,-0.16666666666666666,0.08333333333333333,0.7,0.5333333333333333,0.7,1.0,1.0
[3. 2. 1. 0. 0. 0.],-1.0,-0.9666666666666667,-1.0,-0.9166666666666666,-0.85,-0.9,-0.8333333333333334,-0.8,-1.0,-0.825,-0.7166666666666667,-0.7166666666666667,-0.625,-0.5,-0.7,-0.55,-0.38333333333333336,-0.39166666666666666,0.0,-0.35,-0.14166666666666666,0.16666666666666666,0.11666666666666667,0.4,0.6333333333333333,1.0
[3. 3. 0. 0. 0. 0.],-1.0,-1.0,-1.0,-1.0,-0.8,-1.0,-0.9333333333333333,-1.0,-1.0,-1.0,-0.8,-0.9333333333333333,-0.7333333333333333,-0.8,-1.0,-0.8,-0.4666666666666667,-0.7333333333333333,-0.6,-0.8,-0.4666666666666667,-0.3333333333333333,-0.4666666666666667,0.0,0.0,0.6666666666666666
[4. 1. 1. 0. 0. 0.],-1.0,-1.0,-1.0,-1.0,-0.9333333333333333,-1.0,-0.8333333333333334,-0.35,-1.0,-1.0,-0.8833333333333333,-0.8,-0.5,-0.45,-1.0,-0.8,-0.55,-0.38333333333333336,0.16666666666666666,-0.7,-0.38333333333333336,0.23333333333333334,-0.16666666666666666,0.23333333333333334,0.5666666666666667,1.0
[4. 2. 0. 0. 0. 0.],-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.9,-0.7,-1.0,-1.0,-0.9333333333333333,-0.8666666666666667,-0.7666666666666667,-0.7333333333333333,-1.0,-0.8666666666666667,-0.7333333333333333,-0.6333333333333333,-0.4666666666666667,-0.8,-0.6,-0.3,-0.4666666666666667,-0.16666666666666666,0.0,0.6666666666666666
[5. 1. 0. 0. 0. 0.],-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.7,-1.0,-1.0,-1.0,-1.0,-0.7,-0.6333333333333333,-1.0,-1.0,-0.8,-0.7666666666666667,-0.16666666666666666,-1.0,-0.7666666666666667,-0.3,-0.7333333333333333,-0.3,-0.16666666666666666,0.6666666666666666
[6. 0. 0. 0. 0. 0.],-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.6666666666666666,-1.0,-1.0,-0.8333333333333334,-1.0,-0.8333333333333334,-0.8333333333333334,-0.16666666666666666
