,[2. 2. 2. 1. 1. 1. 1.],[2. 2. 2. 2. 1. 1. 0.],[2. 2. 2. 2. 2. 0. 0.],[3. 2. 1. 1. 1. 1. 1.],[3. 2. 2. 1. 1. 1. 0.],[3. 2. 2. 2. 1. 0. 0.],[3. 3. 1. 1. 1. 1. 0.],[3. 3. 2. 1. 1. 0. 0.],[3. 3. 2. 2. 0. 0. 0.],[3. 3. 3. 1. 0. 0. 0.],[4. 1. 1. 1. 1. 1. 1.],[4. 2. 1. 1. 1. 1. 0.],[4. 2. 2. 1. 1. 0. 0.],[4. 2. 2. 2. 0. 0. 0.],[4. 3. 1. 1. 1. 0. 0.],[4. 3. 2. 1. 0. 0. 0.],[4. 3. 3. 0. 0. 0. 0.],[4. 4. 1. 1. 0. 0. 0.],[4. 4. 2. 0. 0. 0. 0.],[5. 1. 1. 1. 1. 1. 0.],[5. 2. 1. 1. 1. 0. 0.],[5. 2. 2. 1. 0. 0. 0.],[5. 3. 1. 1. 0. 0. 0.],[5. 3. 2. 0. 0. 0. 0.],[5. 4. 1. 0. 0. 0. 0.],[5. 5. 0. 0. 0. 0. 0.],[6. 1. 1. 1. 1. 0. 0.],[6. 2. 1. 1. 0. 0. 0.],[6. 2. 2. 0. 0. 0. 0.],[6. 3. 1. 0. 0. 0. 0.],[6. 4. 0. 0. 0. 0. 0.],[7. 1. 1. 1. 0. 0. 0.],[7. 2. 1. 0. 0. 0. 0.],[7. 3. 0. 0. 0. 0. 0.],[8. 1. 1. 0. 0. 0. 0.],[8. 2. 0. 0. 0. 0. 0.],[9. 1. 0. 0. 0. 0. 0.],[10.  0.  0.  0.  0.  0.  0.]
[2. 2. 2. 1. 1. 1. 1.],-0.0,-0.42857142857142855,-0.7142857142857143,0.5714285714285714,0.14285714285714285,-0.2571428571428571,0.6,0.2571428571428571,-0.14285714285714285,0.42857142857142855,1.0,0.8571428571428571,0.6,0.2571428571428571,0.8857142857142857,0.7142857142857143,1.0,1.0,1.0,1.0,0.9714285714285714,0.8857142857142857,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
[2. 2. 2. 2. 1. 1. 0.],0.42857142857142855,-0.0,-0.42857142857142855,0.5238095238095238,0.21904761904761905,-0.12380952380952381,0.37142857142857144,0.10476190476190476,-0.2571428571428571,-0.0,1.0,0.7714285714285715,0.5428571428571428,0.2571428571428571,0.6571428571428571,0.45714285714285713,0.42857142857142855,0.8761904761904762,0.8095238095238095,1.0,0.9142857142857143,0.8,0.8761904761904762,0.8095238095238095,1.0,1.0,1.0,0.9809523809523809,0.9619047619047619,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
[2. 2. 2. 2. 2. 0. 0.],0.7142857142857143,0.42857142857142855,-0.0,0.5238095238095238,0.2857142857142857,-0.0,0.23809523809523808,-0.0,-0.42857142857142855,-0.2857142857142857,1.0,0.7142857142857143,0.5238095238095238,0.2857142857142857,0.42857142857142855,0.23809523809523808,-0.14285714285714285,0.6190476190476191,0.5238095238095238,1.0,0.8571428571428571,0.7619047619047619,0.6190476190476191,0.5238095238095238,0.8095238095238095,1.0,1.0,0.9523809523809523,1.0,0.8095238095238095,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
[3. 2. 1. 1. 1. 1. 1.],-0.5714285714285714,-0.5238095238095238,-0.5238095238095238,-0.0,-0.11904761904761904,-0.19047619047619047,0.42857142857142855,0.23809523809523808,0.09523809523809523,0.6428571428571429,0.7142857142857143,0.47619047619047616,0.2857142857142857,0.14285714285714285,0.7857142857142857,0.6190476190476191,1.0,1.0,1.0,0.9523809523809523,0.8571428571428571,0.7142857142857143,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
[3. 2. 2. 1. 1. 1. 0.],-0.14285714285714285,-0.21904761904761905,-0.2857142857142857,0.11904761904761904,-0.0,-0.1,0.20952380952380953,0.10476190476190476,-0.0,0.22857142857142856,0.5714285714285714,0.40476190476190477,0.2857142857142857,0.17142857142857143,0.5,0.40476190476190477,0.6190476190476191,0.7714285714285715,0.7142857142857143,0.8571428571428571,0.7261904761904762,0.6285714285714286,0.8214285714285714,0.7714285714285715,1.0,1.0,0.9714285714285714,0.9214285714285714,0.8857142857142857,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
[3. 2. 2. 2. 1. 0. 0.],0.2571428571428571,0.12380952380952381,-0.0,0.19047619047619047,0.1,-0.0,0.08571428571428572,-0.0,-0.11428571428571428,-0.1,0.42857142857142855,0.3619047619047619,0.2857142857142857,0.2,0.2714285714285714,0.20476190476190476,0.12380952380952381,0.4666666666666667,0.44761904761904764,0.7142857142857143,0.6285714285714286,0.580952380952381,0.5523809523809524,0.5523809523809524,0.7523809523809524,1.0,0.8857142857142857,0.8333333333333334,0.8380952380952381,0.8047619047619048,1.0,0.9714285714285714,0.9619047619047619,1.0,1.0,1.0,1.0,1.0
[3. 3. 1. 1. 1. 1. 0.],-0.6,-0.37142857142857144,-0.23809523809523808,-0.42857142857142855,-0.20952380952380953,-0.08571428571428572,-0.0,0.10476190476190476,0.17142857142857143,0.4857142857142857,-0.14285714285714285,-0.0,0.08571428571428572,0.17142857142857143,0.34285714285714286,0.3619047619047619,0.7714285714285715,0.638095238095238,0.6190476190476191,0.47619047619047616,0.4666666666666667,0.4857142857142857,0.8,0.7714285714285715,1.0,1.0,0.8666666666666667,0.8,0.7714285714285715,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
[3. 3. 2. 1. 1. 0. 0.],-0.2571428571428571,-0.10476190476190476,-0.0,-0.23809523809523808,-0.10476190476190476,-0.0,-0.10476190476190476,-0.0,0.09523809523809523,0.11428571428571428,-0.14285714285714285,-0.009523809523809525,0.08888888888888889,0.17142857142857143,0.09523809523809523,0.19047619047619047,0.37142857142857144,0.2857142857142857,0.37142857142857144,0.2857142857142857,0.37142857142857144,0.43333333333333335,0.49523809523809526,0.5714285714285714,0.6952380952380952,1.0,0.6571428571428571,0.6857142857142857,0.7142857142857143,0.8285714285714286,1.0,0.9,0.8952380952380953,1.0,1.0,1.0,1.0,1.0
[3. 3. 2. 2. 0. 0. 0.],0.14285714285714285,0.2571428571428571,0.42857142857142855,-0.09523809523809523,-0.0,0.11428571428571428,-0.17142857142857143,-0.09523809523809523,-0.0,-0.2,-0.14285714285714285,-0.02857142857142857,0.0761904761904762,0.2,-0.08571428571428572,-0.0,-0.12380952380952381,-0.0,0.08571428571428572,0.14285714285714285,0.2571428571428571,0.38095238095238093,0.2,0.34285714285714286,0.3142857142857143,0.7142857142857143,0.42857142857142855,0.5428571428571428,0.6952380952380952,0.5142857142857142,0.7142857142857143,0.6857142857142857,0.8,0.8571428571428571,0.8857142857142857,1.0,1.0,1.0
[3. 3. 3. 1. 0. 0. 0.],-0.42857142857142855,-0.0,0.2857142857142857,-0.6428571428571429,-0.22857142857142856,0.1,-0.4857142857142857,-0.11428571428571428,0.2,-0.0,-0.5714285714285714,-0.35714285714285715,-0.08571428571428572,0.17142857142857143,-0.3,-0.0,0.14285714285714285,-0.2,0.08571428571428572,-0.2857142857142857,-0.0,0.2714285714285714,0.1,0.4,0.2,0.7142857142857143,0.08571428571428572,0.37142857142857144,0.6,0.5428571428571428,0.7142857142857143,0.4714285714285714,0.7,0.9285714285714286,0.8,0.9285714285714286,1.0,1.0
